kategori,urun_adi,miktar,fiyat,market_adi,resim_linki
Gazsız İçecekler,Nestle Salep 17 Gr+2 Market,17 G,"5,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1276638.jpg
Gazsız İçecekler,Eker Bardak Ayran 300 Ml,300 Ml,"16,65",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1694529.jpg
Gazsız İçecekler,İçim Kefir Sade 250 Ml+2 Market,250 Ml,"26,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1866579.jpg
Gazsız İçecekler,Eker Kerevizli Muzlu Ananas Kefir 290 Ml,290 Ml,"31,95",MarketFiyati.org.tr,https://reimg-carrefour.mncdn.com/mnresize/600/600/productimage/30421330/30421330_0_MC/8850488623154_1683616818796.jpg
Gazsız İçecekler,Tarım Kredi Şalgam Suyu Acılı Pet Şişe 300 Ml,300 Ml,"27,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1443412.jpg
Gazsız İçecekler,Kakaolu İçecek Tozu 450 Gr Nesquıck,450 G,"85,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_285356.jpg
Gazsız İçecekler,Pınar Limonata Şekersiz Gazsız Limonlu İçecek 1 Lt,1 Lt,"37,90",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1804333.jpg
Gazsız İçecekler,Carrefour Tam Yağlı Ayran 200 Ml,200 Ml,"7,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_284718.jpg
Gazsız İçecekler,Uludağ Şekersiz Limonata 1 Lt+3 Market,1 Lt,"39,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1416242.jpg
Gazsız İçecekler,İçim Ayran 1 Lt,1 Lt,"36,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1445099.jpg
Gazsız İçecekler,Yörüksüt Ayran 275 Ml,275 Ml,"11,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1406373.jpg
Gazsız İçecekler,Tarım Kredi Limonata 1 Lt,1 Lt,"25,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1738889.jpg
Gazsız İçecekler,Tarım Kredi Limonata Karadut Aromalı 1 Lt,1 Lt,"29,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_579156.jpg
Gazsız İçecekler,Carrefour Tam Yağlı Ayran 1500 Ml,1500 Ml,"41,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_362542.jpg
Gazsız İçecekler,Sek Kefir Probiyotik Ananaslı 250 Ml,250 Ml,"27,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_320013.jpg
Gazsız İçecekler,Doğanay Şalgamsuyu Normal 1 Lt,1 Lt,"45,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1435878.jpg
Gazsız İçecekler,Migros Limonata 1 Lt,1 Lt,"25,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_668222.jpg
Gazsız İçecekler,Tarım Kredi Şerbet 1 Lt,1 Lt,"27,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1070949.jpg
Gazsız İçecekler,Carrefour Kahve Beyazlatıcısı 200 Gr,200 G,"39,90",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1980014.jpg
Gazsız İçecekler,Siri Ananas Aromalı Bubble Tea 350 Ml,350 Ml,"42,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1696928.jpg
Gazsız İçecekler,İçim Ayran 285 Ml,285 Ml,"15,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1563082.jpg
Kahve,Kağıt Filtre Kahve 80 Li Tchibo,,"100,90",MarketFiyati.org.tr,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/hstvzBTLP0_500x500.png
Kahve,Eduscho Caffe Crema Strong Çek.kahve,,"500353,43",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1943826.jpg
Kahve,Kahve Instant Cappuccıno 14 Gr Nescafe,14 G,"11,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1307747.jpg
Kahve,Lezzcafe 3 Ü 1 Arada Fındıklı 18 Gr,18 G,"5,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1434448.jpg
Kahve,Lezzcafe Latte Sütlü Köpüklü 17 Gr,17 G,"5,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1432912.jpg
Kahve,Soğuk Kahve Latte 250 Ml Cafex,250 Ml,"30,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_909483.jpg
Kahve,Kahve Instant 17 Gr Mocha Nescafe,17 G,"11,50",MarketFiyati.org.tr,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/J5yhzUz-1j_500x500.png
Kahve,Nescafe 3 Ü 1 Arada 10 Lu Multi Pack 10 X 17.5 Gr,5 G,"85,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1435878.jpg
Kahve,Lezzcafe Sıcak Çikolata 18.5 Gr,5 G,"4,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_90546.jpg
Kahve,Migros Mocha Çikolata Aromalı Kahveli Sütlü İçecek 250 Ml,250 Ml,"59,90",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1710928.jpg
Kahve,Shazel Probiyotikli & Prebiyotikli Yşl.khv.14*2.6 Gr,6 G,"99,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1437910.jpg
Kahve,Hazır Kahve 3ü1 Gr & 2si1 Arada Nescafe 17.5 / 10 Gr+5 Market,1 G,"7,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_668222.jpg
Kahve,Eduscho Strong Filtre Kahve 250 Gr,250 G,"219,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1922190.jpg
Kahve,Kahve Instant 3 Ü 1 Arada 500 Gr Cafex,500 G,"123,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1292825.jpg
Kahve,Migros Klasik Kahve Ekonomik Paket 200 Gr,200 G,"178,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1422788.jpg
Kahve,Soğuk Kahve 250 Ml Xpress Nescafe,250 Ml,"55,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_92365.jpg
